id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/25784379	10.2307/25784379	chicken love	Christine Pattee	Off Our Backs	6	5	1976-07-01T00:00:00Z	p. 31	off our backs, inc.	fla			
10.2307/25576957	10.2307/25576957	Love's Tracery	Joy Hendry	The Poetry Ireland Review		29	1990-07-01T00:00:00Z	pp. 90-91	Poetry Ireland	fla			
10.2307/27569143	10.2307/27569143	Love	John F. Deane	Harvard Review		30	2006-01-01T00:00:00Z	p. 59	Houghton Library of the Harvard College Library	fla			
10.2307/20009994	10.2307/20009994	How Do I Love Thee? Let Me Count the Properties	Simon Keller	American Philosophical Quarterly	37	2	2000-04-01T00:00:00Z	pp. 163-173	North American Philosophical Publications, University of Illinois Press	fla			
10.1086/647439	10.1086/647439	Dale V. Kent. <i>Friendship, Love, and Trust in Renaissance Florence</i>	Mark Jurdjevic	Renaissance Quarterly	62	3	2009-09-01T00:00:00Z	pp. 960-962	Renaissance Society of America, The University of Chicago Press	brv	Friendship, Love, and Trust in Renaissance Florence|Dale V Kent		
10.2307/2700386	10.2307/2700386	What's Love Got to Do with It?	Ramon A. Gutierrez	The Journal of American History	88	3	2001-12-01T00:00:00Z	pp. 866-869	Organization of American Historians	fla			
10.2307/41957447	10.2307/41957447	Love prevails over legal restrictions	Marilyn Strelau	Antipodes	19	1	2005-06-01T00:00:00Z	pp. 110-111		brv	Shadow Lines|Stephen Kinnane		
10.2307/834537	10.2307/834537	Nineteenth-Century Yiddish Love Songs of East Europe	Ruth Rubin	Journal of the International Folk Music Council	7		1955-01-01T00:00:00Z	pp. 44-47	International Council for Traditional Music	fla			
10.2307/20463164	10.2307/20463164	Love, Anger, and Peace: Social Practice and Poetic Play in the Ending of Yvain	Fredric L. Cheyette, Howell Chickering	Speculum	80	1	2005-01-01T00:00:00Z	pp. 75-117	Medieval Academy of America	fla			
10.2307/27834762	10.2307/27834762	Clarifications: The Quest for TQM: Love it or hate it, it's impossible to ignore		ABA Journal	80	1	1994-01-01T00:00:00Z	p. 10	American Bar Association	fla			
10.2307/25088807	10.2307/25088807	Love's Coldness Turns to the Warmth of Patience	Jay Wright	The Massachusetts Review	18	4	1977-12-01T00:00:00Z	pp. 726-727	The Massachusetts Review, Inc.	fla			
10.2307/20600179	10.2307/20600179	Of the 497 Kinds of Love, This Is #43	Gary Waller	Poetry	145	5	1985-02-01T00:00:00Z	pp. 255-256	Poetry Foundation	fla			
10.2307/25461984	10.2307/25461984	The Benefits of Free Love	Noah Smith, Penelope Swales, Jacques Attali	Foreign Policy		152	2006-01-01T00:00:00Z	pp. 14-15	Washingtonpost.Newsweek Interactive, LLC	fla			
10.2307/40349004	10.2307/40349004	Love Gets Ornery	James Tate	Ploughshares	9	1	1983-01-01T00:00:00Z	p. 118	Emerson College	fla			
10.2307/3092920	10.2307/3092920	Love, Necessity and Opportunity: Changing Patterns of Marital Age Homogamy in the Netherlands, 1850-1993	Frans van Poppel, Aart C. Liefbroer, Jeroen K. Vermunt, Wilma Smeenk	Population Studies	55	1	2001-03-01T00:00:00Z	pp. 1-13	Population Investigation Committee, Taylor & Francis, Ltd.	fla		This article examines long-term trends in the pattern of age homogamy among first marriages, using vital registration data on all first marriages contracted between 1850 and 1993 in the Netherlands. After discussing the main mechanisms that could account for trends in age differences, we show that age differences between spouses narrowed considerably between 1850 and 1970. After 1970 the trend becomes less clear-cut.	
10.2307/41926970	10.2307/41926970	XI           <sup>TH</sup>           CENTURY MUSLIM VIEWS ON WOMEN, MARRIAGE, LOVE AND SEX	ROBERT DEVEREUX	Central Asiatic Journal	11	2	1966-06-01T00:00:00Z	pp. 134-140		fla			
10.2307/40344858	10.2307/40344858	"The Love of Colour in Me": Anzia Yezierska's "Bread Givers" and the Space of White Racial Manufacture	Tyrone R. Simpson II	MELUS	34	3	2009-10-01T00:00:00Z	pp. 93-114	Oxford University Press, The Society for the Study of the Multi-Ethnic Literature of the United States (MELUS)	fla			
10.2307/20717317	10.2307/20717317	JULIAN OF NORWICH: THE WESTMINSTER TEXT OF A REVELATION OF LOVE	Hugh Kempster	Mystics Quarterly	23	4	1997-12-01T00:00:00Z	pp. 177-246	Penn State University Press	fla			
10.2307/41183768	10.2307/41183768	They Love Arithmetic!	Harold W. Stephens	The Arithmetic Teacher	2	2	1955-04-01T00:00:00Z	pp. 60-61	National Council of Teachers of Mathematics	fla			
10.2307/40284229	10.2307/40284229	Raimond Gaita on Saints, Love and Human Preciousness	Christopher Hamilton	Ethical Theory and Moral Practice	11	2	2008-04-01T00:00:00Z	pp. 181-195	Springer	fla		Raimond Gaita's work in moral philosophy is unusual and important in focusing on the concept of sainthood. Drawing partly on the work of George Orwell, and partly on the life and work of Simone Weil, as well as on further material, I argue that Gaita's use of this notion to help make sense of the concept of human preciousness is unconvincing, not least because he does not properly explore the figure and psychology of the saint in any detail. I relatedly argue that the notion of human preciousness in question is implausible and, in some ways, sentimental. I also explore Gaita's concept of " speaking personally" in moral philosophy, and suggest that matters here are a great deal more complicated than he supposes.	
10.2307/25796227	10.2307/25796227	Dykes to Watch Out For: MODERN LOVE		Off Our Backs	18	3	1988-03-01T00:00:00Z	p. 35	off our backs, inc.	fla			
10.2307/3385242	10.2307/3385242	The Psychology of Music. XV. Why Do We Love Music?	Carl E. Seashore	Music Educators Journal	25	1	1938-09-01T00:00:00Z	p. 28	MENC: The National Association for Music Education, Sage Publications, Inc.	fla			
10.2307/27923070	10.2307/27923070	The Persistence of Memory: Traditional Andean Culture Expressed in Recurrent Themes and Images in Quechua Love Songs	Anna Saroli	Confluencia	20	2	2005-04-01T00:00:00Z	pp. 47-56	University of Northern Colorado	fla			
10.2307/20608271	10.2307/20608271	What Loves, Takes Away	Eleanor Wilner	Poetry	192	5	2008-09-01T00:00:00Z	p. 463	Poetry Foundation	fla			
10.2307/20591182	10.2307/20591182	My Love, My Love, My Love, Why Have You Left Me Alone?	Delmore Schwartz	Poetry	76	1	1950-04-01T00:00:00Z	p. 2	Poetry Foundation	fla			
10.2307/4174051	10.2307/4174051	"Ars dialectica" and Poetry: The Aristocratic Love Lyric of the Sicilian School	Rinaldina Russell	Studies in Philology	77	4	1980-10-01T00:00:00Z	pp. 354-375	University of North Carolina Press	fla			
10.2307/20014257	10.2307/20014257	Eroticism and Love	Paul Gregory	American Philosophical Quarterly	25	4	1988-10-01T00:00:00Z	pp. 339-344	North American Philosophical Publications, University of Illinois Press	fla			
10.2307/20751923	10.2307/20751923	CHRISTMAS PEACE, LOVE, CHARITY	Grace Olafson	International Journal on World Peace	10	3	1993-09-01T00:00:00Z	p. 89	Professors World Peace Academy	fla			
10.2307/25670629	10.2307/25670629	D. H. Lawrence's Women in Love: A Tale of the Modernist Psyche, the Continental "Concept," and the Aesthetic Experience	MICHAEL LACKEY	The Journal of Speculative Philosophy	20	4	2006-01-01T00:00:00Z	pp. 266-286	Penn State University Press	fla			
10.1086/673939	10.1086/673939	Anna M. Lawrence, <i>One Family under God: Love, Belonging, and Authority in Early Transatlantic Methodism</i>	Christina Marie Devlin	The Journal of Religion	93	4	2013-10-01T00:00:00Z	pp. 500-501	The University of Chicago Press	brv	One Family under God: Love, Belonging, and Authority in Early Transatlantic Methodism|Anna M., Lawrence		
10.2307/42632540	10.2307/42632540	Values of Love and Marriage in the Tagalog Novel	SOLEDAD S. REYES	Philippine Studies	28	3	1980-09-01T00:00:00Z	pp. 284-304		fla			
10.2307/25581470	10.2307/25581470	[Illustration]: 'A Dream of Love' by Heinrich Vogeler		The Artist: An Illustrated Monthly Record of Arts, Crafts and Industries (American Edition)	26	237	1899-10-01T00:00:00Z			mis			
10.2307/30030251	10.2307/30030251	"The Reader Whom I Love": Homoerotic Secrets in "David                             Copperfield"	Oliver S. Buckton	ELH	64	1	1997-04-01T00:00:00Z	pp. 189-222	The Johns Hopkins University Press	fla			
10.2307/4173958	10.2307/4173958	The Father Found: Consolation Achieved through Love in Ben Jonson's "On My First Sonne"	J. Z. Kronenfeld	Studies in Philology	75	1	1978-01-01T00:00:00Z	pp. 64-83	University of North Carolina Press	fla			
10.2307/4500020	10.2307/4500020	Tough Love	Yve-Alain Bois	Oxford Art Journal	28	2	2005-01-01T00:00:00Z	pp. 247-255	Oxford University Press	fla			
10.2307/25772714	10.2307/25772714	our right to love	terri poppe	Off Our Backs	8	3	1978-03-01T00:00:00Z	p. 20	off our backs, inc.	brv	Our Right to Love: a Lesbian Resource Book|Ginny Vida		
10.2307/27840699	10.2307/27840699	The MONEY CHASE: Municipalities love using tax breaks to lure new businesses, but sweetheart deals have lawyers for school districts and industry rivals raising red flags	JOHN GIBEAUT	ABA Journal	85	3	1999-03-01T00:00:00Z	pp. 58-61	American Bar Association	fla			
10.2307/40630562	10.2307/40630562	Love and Intellection	FREDERICK REID	Prairie Schooner	41	3	1967-10-01T00:00:00Z	p. 323	University of Nebraska Press	fla			
10.2307/27660415	10.2307/27660415	To Love and to Cherish...	Margaret Wallace	The Furrow	28	8	1977-08-01T00:00:00Z	pp. 500-504	The Furrow	fla			
10.2307/27780728	10.2307/27780728	Love In An Evil Time	W. D. EHRHART	The American Poetry Review	21	3	1992-05-01T00:00:00Z	p. 30	American Poetry Review	fla			
10.2307/40216669	10.2307/40216669	"I Love It" or "I Hate It"? The Positivity Effect in Stated Preferences for Agent Evaluation	Andrew D. Gershoff, Ashesh Mukherjee, Anirban Mukhopadhyay	Marketing Letters	17	2	2006-04-01T00:00:00Z	pp. 103-117	Springer	fla		Consumers often interact with agents to obtain advice about products and services. A consumer's evaluation of an agent as a source of personalized advice depends, in part, on the extent to which the consumer believes the agent knows and shares her tastes. In this research, we show a positivity effect in the agent evaluation process, whereby consumers perceive alternatives they love (compared to hate) to be more informative to agents about their tastes, and hence more diagnostic to agents for predicting their future evaluations. Further, we show that this positivity effect is moderated by the agent's level of agreement with the consumer, and is driven by the greater accessibility of information about loved, compared to hated, alternatives. We discuss the implications of these results for interpersonal judgments and agent choice.	
10.2307/190359	10.2307/190359	Changing Emotion Norms in Marriage: Love and Anger in U.S. Women's Magazines since 1900	Francesca M. Cancian, Steven L. Gordon	Gender and Society	2	3	1988-09-01T00:00:00Z	pp. 308-342	Sage Publications, Inc.	fla		Throughout the twentieth century, women's magazines in the United States have socialized their readers to the "proper" expression of love and anger in marriage. Our analysis of a random sample of marital advice articles from 1900 to 1979 examines this cultural convergence of gender, marriage, and emotion. A qualitative analysis identifies techniques for socializing readers to the emotional culture of marriage and shows a historical change toward equating love with self-fulfillment and advocating the expression of anger. A quantitative analysis then specifies the timing of changes in emotion norms and showed an oscillation between modern and traditional norms that is related to waves of political liberation versus oppression. We discuss the relation between emotion norms and behavior and explore the effect of group conflict on the production of emotional culture. Emotion norms have become less rigid and more tolerant of diversity; but gender differences persist, and women are still responsible for maintaining intimate relationships. Historical trends in love and anger norms are nonlinear, not a continuous shift toward individualism, self-development, and free expression, as suggested by recent cultural theories.	
10.2307/73472	10.2307/73472	Determination of Love's Number from Satellite Observations	Y. Kozai	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences	262	1124	1967-07-13T00:00:00Z	pp. 135-136	The Royal Society	fla		From variations of orbital inclinations of the three satellites 1959 α  1, 1959 η , and 1960 ι  2, Love's number of the Earth is determined as 0· 39 ±  0· 05.	
10.2307/20536883	10.2307/20536883	Love Song	Jerry Harp	The Iowa Review	37	3	2007-12-01T00:00:00Z	p. 98	University of Iowa	fla			
10.2307/25486352	10.2307/25486352	Agency and Translational Literature: Ahdaf Soueif's "The Map of Love"	Waïl S. Hassan	PMLA	121	3	2006-05-01T00:00:00Z	pp. 753-768	Modern Language Association	fla		In the space between translators and translated, there are texts that straddle two languages, at once foregrounding, performing, and problematizing the act of translation. They participate in the construction of cultural identies from that in-between space and stage many of the concerns of contemporary translation theory. I call such texts translational literature. While all bilingual and multilingual discourse dramatizes the interaction of languages, translational texts lay special emphasis on translation as an essential component of cross-cultural contact. As such, translational literature treats translation in several registers-formal, thematic, linguistic, and discursive-raising questions not only about technical aspects of linguistic transfer but also about cultural (un)translatability, discourses of difference, and ideologies of domination. This essay elaborates the notion of translational literature and offers the exemplary case of Ahdaf Soueif's "The Map of Love" (1999).	
10.5951/teacchilmath.18.6.0344	10.5951/teacchilmath.18.6.0344	Fore! The Love of Math	Kristen Beck	Teaching Children Mathematics	18	6	2012-02-01T00:00:00Z	pp. 344-345	National Council of Teachers of Mathematics	fla		This article uses golfcourse terrain and the game itself to increase students' critical thinking, math sense, fraction sense, and the application of area and graphing.	
10.2307/30225511	10.2307/30225511	The Paradox of Fulfillment: A Discussion of "Women in Love"	Sibyl Jacobson	The Journal of Narrative Technique	3	1	1973-01-01T00:00:00Z	pp. 53-65	Department of English Language and Literature, Eastern Michigan University	fla			
10.2307/342728	10.2307/342728	Petrarchan Motifs and Plurisignative Tension in Quevedo's Love Sonnets: New Dimensions of Meaning	Georgia Naderi	Hispania	69	3	1986-09-01T00:00:00Z	pp. 483-494	American Association of Teachers of Spanish and Portuguese	fla			
10.2307/25476636	10.2307/25476636	Elephant Love	Michael Seidel	James Joyce Quarterly	22	1	1984-10-01T00:00:00Z	p. 83	University of Tulsa	fla			
10.2307/20836615	10.2307/20836615	Love Women or Die: Are We An Endangered Species?	alix dobkin	Off Our Backs	30	5	2000-05-01T00:00:00Z	pp. 9, 18	off our backs, inc.	fla			
10.2307/20545040	10.2307/20545040	Reply to "Night of Love"	D. Vasa	All Ireland Review	1	46	1900-11-17T00:00:00Z	p. 5	All Ireland Review	fla			
10.2307/823641	10.2307/823641	'TB Sheets': Love and Disease in "La traviata"	Arthur Groos	Cambridge Opera Journal	7	3	1995-11-01T00:00:00Z	pp. 233-260	Cambridge University Press	fla			
10.2307/27541735	10.2307/27541735	Love among the Philosophers [Poem]	John Frederick Nims	The Sewanee Review	77	3	1969-07-01T00:00:00Z	pp. 380-381	The Johns Hopkins University Press	fla			
10.2307/27780808	10.2307/27780808	To Read: To Love	TOMAZ SALAMUN	The American Poetry Review	21	4	1992-07-01T00:00:00Z	p. 42	American Poetry Review	fla			
10.2307/41213227	10.2307/41213227	REREADING: Love's Wound Love's Salve	SVEN BIRKERTS	The American Scholar	70	4	2001-10-01T00:00:00Z	pp. 132-136	The Phi Beta Kappa Society	brv			
10.2307/40280571	10.2307/40280571	The Politics of Love: Propaganda and Structural Learning in Aphra Behn's "Love-Letters between a Nobleman and His Sister"	Francis F. Steen	Poetics Today	23	1	2002-04-01T00:00:00Z	pp. 91-122	Duke University Press	fla		Given her influential and decidedly liberal feminist social agenda, Aphra Behn's political convictions during the struggles of the 1680s between Parliament and Charles II have struck several critics as incongruously reactionary. This essay proposes a partial resolution to this apparent contradiction by examining how Behn employs the psychology of transgressive love to model the relation between the king and his subjects. By drawing selectively from the different sets of inferences present in the conceptual spaces of passionate love and autocratic power, Behn produces an unstable but potent conceptual blend. The emerging "liberal royalism" is driven by desire and characterized by an emotionally irresistible reciprocal attachment.	
10.2307/467743	10.2307/467743	Reading Desi Arnaz in The Mambo Kings Play Songs of Love	Paula W. Shirley	MELUS	20	3	1995-10-01T00:00:00Z	pp. 69-78	Oxford University Press, The Society for the Study of the Multi-Ethnic Literature of the United States (MELUS)	fla			
10.2307/2103161	10.2307/2103161	Scheler's Theory of Sympathy and Love	V. J. McGill	Philosophy and Phenomenological Research	2	3	1942-03-01T00:00:00Z	pp. 273-291	International Phenomenological Society	fla			
10.2307/176004	10.2307/176004	Land and Love, Profit, Debt, and Power: Two Important Centuries in the Life of the British Aristocracy	Nancy W. Ellenberger	Journal of British Studies	35	4	1996-10-01T00:00:00Z	pp. 536-541	Cambridge University Press, The North American Conference on British Studies	brv	George Eliot and the Politics of National Inheritance|Bernard Semmel, Marriage, Debt, and the Estates System: English Landownership, 1650-1950|John Habakkuk, Landowners, Capitalists, and Entrepreneurs: Essays for Sir John Habakkuk|F. M. L. Thompson		
10.2307/2867809	10.2307/2867809	Two Items of Spanish Pronunciation in Love's Labour's Lost	Gustav Ungerer	Shakespeare Quarterly	14	3	1963-07-01T00:00:00Z	pp. 245-251	Folger Shakespeare Library, George Washington University	fla			
10.2307/25093209	10.2307/25093209	Love in the "Filostrato"	Robert P. apRoberts	The Chaucer Review	7	1	1972-07-01T00:00:00Z	pp. 1-26	Penn State University Press	fla		Critics have recognized that Chaucer significantly transmutes his "auctor" Boccaccio's Filostrato into his own Troilus, but the quality of Boccaccio's attitude toward love and, therefore, of Chaucer's change has not perhaps always been fully grasped. Boccaccio presents an affair he thinks perfect, and the salient feature is that love paramours is to be preferred to marriage precisely because it affords a sensuousness marriage cannot. Its very immorality is what makes it an alto appetito. Pandaro justifies Troilo's love on the grounds that his is a desire too intense to be satisfied onestamente. Criseida's principal argument for engaging in a clandestine love is that the restricted conditions for such a love produce a greater intensity of desire than the free access provided by marriage, and her culminating argument for acquiescence in her exchange is that the alternative of eloping would remove the restriction which keeps Troilo's desire so intense. Criseida's infidelity is not presented as due to her being too sensual to be steadfast but as due to her possession of a fickleness often found in young women.	
10.2307/643000	10.2307/643000	Horace, 'Odes' 1.8: The Love of Lydia and Thetis	M. Dyson	Greece & Rome	35	2	1988-10-01T00:00:00Z	pp. 164-171	Cambridge University Press, The Classical Association	fla			
10.2307/3041793	10.2307/3041793	Ripping Away the Veil of Slavery: Literacy, Communal Love, and Self-Esteem in Three Slave Women's Narratives	Joycelyn K. Moody	Black American Literature Forum	24	4	1990-12-01T00:00:00Z	pp. 633-648	St. Louis University	fla			
10.2307/25587687	10.2307/25587687	The Alphabet of Love		The Art World	1	2	1916-11-01T00:00:00Z	pp. 143-148		fla			
10.2307/20572918	10.2307/20572918	Seeking Love	Benjamin Rosenbaum	Poetry	17	4	1921-01-01T00:00:00Z	pp. 194-195	Poetry Foundation	fla			
10.2307/40606345	10.2307/40606345	Tell me you love me: bootstrapping, externalism, and no-lose epistemology	Michael G. Titelbaum	Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition	149	1	2010-05-01T00:00:00Z	pp. 119-134	Springer	fla		Recent discussion of Vogel-style "bootstrapping" scenarios suggests that they provide counterexamples to a wide variety of epistemological theories. Yet it remains unclear why it's bad for a theory to permit bootstrapping, or even exactly what counts as a bootstrapping case. Going back to Vogel's original bootstrapping example, I note that an agent who could gain justification through the method Vogel describes would have available a "no-lose investigation": an investigation that can justify a proposition but has no possibility of undermining it. The main suggestion of this article is that an epistemological theory should not permit no-lose investigations. I identify necessary and sufficient conditions for such investigations, then explore epistemological theories that rule them out. If we want to avoid both skepticism and no-lose investigations, we must eschew either Closure or epistemic externalism.	
10.2307/25652676	10.2307/25652676	From Brussels with Love: The Transatlantic Travels of European Law and the Chemistry of Regulatory Attraction	JOANNE SCOTT	The American Journal of Comparative Law	57	4	2009-10-01T00:00:00Z	pp. 897-942	American Society of Comparative Law	fla		U.S. scholarship and U.S. courts have in recent years been gripped by the question of whether and in what circumstances it might be appropriate to rely on foreign, comparative, and international law. Along with a number of other scholars, this paper suggests that the intensive focus on that question, despite its undeniable scholarly and constitutional interest, has led to a tendency to overlook or ignore many of the crucial ways in which foreign law has entered and influenced U.S. law and policy. Using the example of the European Union's Regulation on Registration, Evaluation, Authorisation and Restriction of Chemicals (REACH), this paper examines the ways in which individual states and a wide range of private actors, including NGOs, have drawn upon and used EU law in reforming the U.S. chemicals regime. The paper tells a story of law's migration, highlighting the impact that foreign law can have in the United States and identifying the routes it travels to find its way in. It argues that this regulatory influence is not one way and that the EU regime is structured in such a way that reciprocal learning from the United States is also highly likely.	
10.2307/25163703	10.2307/25163703	A Love Letter from Alexander Hamilton to His "Nut-Brown Maid"	Richard Brookhiser	OAH Magazine of History	18	4	2004-07-01T00:00:00Z	pp. 49-52	Organization of American Historians	fla			
10.2307/25122012	10.2307/25122012	In Love	Winifred Welles	The North American Review	208	754	1918-09-01T00:00:00Z	p. 435	University of Northern Iowa	fla			
10.2307/23470143	10.2307/23470143	PHILIP AND PAUSANIAS: A DEADLY LOVE IN MACEDONIAN POLITICS	B. ANTELA-BERNÁRDEZ	The Classical Quarterly	62	2	2012-12-01T00:00:00Z	pp. 859-861	Cambridge University Press, The Classical Association	fla			
10.2307/473693	10.2307/473693	Reading the Love Myth: Tusquets with the Help of Barthes	Janet N. Gold	Hispanic Review	55	3	1987-07-01T00:00:00Z	pp. 337-346	University of Pennsylvania Press	fla			
10.2307/468136	10.2307/468136	The Quest for True Love: Ethnicity in Nancy Savoca's Domestic Film Comedy	Edvige Giunta	MELUS	22	2	1997-07-01T00:00:00Z	pp. 75-89	Oxford University Press, The Society for the Study of the Multi-Ethnic Literature of the United States (MELUS)	fla			
10.2307/20869668	10.2307/20869668	Infidels and miscreants: love and war in Afghanistan	ALEX DANCHEV	International Affairs (Royal Institute of International Affairs 1944-)	87	2	2011-03-01T00:00:00Z	pp. 435-443	Royal Institute of International Affairs, Wiley	brv	War|Sebastian Junger, Infidel|Tim Hetherington;Sebastian Junger, Restrepo: one platoon, one valley, one year|Tim Hetherington;Sebastian Junger	This article reviews the fruits of a sustained collaboration between the writer and reporter Sebastian Junger and the photographer and filmmaker Tim Hetherington, embedded with the US Army in Afghanistan: Junger's meditation, War; Hetherington's photographs, Infidel; and the documentary film they co-directed, Restrepo. Taken together, these works offer perhaps the most significant insight into the nature of combat, and combat effectiveness, yet to emerge in the era of the 'war on terror'. Remarkably enough, their fundamental theme is love.	
10.2307/1205656	10.2307/1205656	Love and Justice in Reinhold Neibuhr's Prophetic Christian Realism and Emmanuel Levinas's Ethics of Responsibility: Treading between Pacifism and Just-War Theory	Andrew Flescher	The Journal of Religion	80	1	2000-01-01T00:00:00Z	pp. 61-82	The University of Chicago Press	fla			
10.2307/27543215	10.2307/27543215	Heigho, If Love were All!	Gerald Weales	The Sewanee Review	85	2	1977-04-01T00:00:00Z	pp. li-liii	The Johns Hopkins University Press	brv	Remembered Laughter: The Life of Noel Coward|Cole Lesley		
10.2307/40549178	10.2307/40549178	Every Woman in Love	YEHUDA AMICHAI, Chana Block, Chana Kronfeld	Salmagundi		124/125	1999-10-01T00:00:00Z	p. 74	Skidmore College	fla			
10.2307/3856640	10.2307/3856640	I Cry, Love! Love!	Theodore Roethke	The Hudson Review	3	2	1950-07-01T00:00:00Z	pp. 217-218	The Hudson Review, Inc	fla			
10.2307/41780893	10.2307/41780893	Everyone Loves a Bloodbath	Tony Perrottet	Archaeology	57	2	2004-03-01T00:00:00Z	pp. 54-55	Archaeological Institute of America	brv			
10.2307/23331317	10.2307/23331317	Punjabi Scene: Love Poetry, Marxism and Punjab	AMRIK SINGH PUNNI	Indian Literature	32	6 (134)	1989-11-01T00:00:00Z	pp. 161-168	Sahitya Akademi	fla			
10.2307/4319824	10.2307/4319824	Could Love Be like a Heatwave?: Physicalism and the Subjective Character of Experience	Janet Levin	Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition	49	2	1986-03-01T00:00:00Z	pp. 245-261	Springer	fla			
10.2307/27508401	10.2307/27508401	Females, Feminism and Free Love in an Early Nineteenth Century Radical Movement	Iain McCalman	Labour History		38	1980-05-01T00:00:00Z	pp. 1-25	Australian Society for the Study of Labour History, Inc.	fla			
10.2307/1343029	10.2307/1343029	The Robber in the Bedroom; Or, The Thief of Love: A Woolfian Grieving in Six Novels and Two Memoirs	Mark Spilka	Critical Inquiry	5	4	1979-07-01T00:00:00Z	pp. 663-682	The University of Chicago Press	fla			
10.2307/20619056	10.2307/20619056	When Customer Love Turns into Lasting Hate: The Effects of Relationship Strength and Time on Customer Revenge and Avoidance	Yany Grégoire, Thomas M. Tripp, Renaud Legoux	Journal of Marketing	73	6	2009-11-01T00:00:00Z	pp. 18-32	American Marketing Association	fla		This article explores the effects of time and relationship strength on the evolution of customer revenge and avoidance in online public complaining contexts. First, the authors examine whether online complainers hold a grudge—in terms of revenge and avoidance desires—over time. They find that time affects the two desires differently: Although revenge decreases over time, avoidance increases over time, indicating that customers indeed hold a grudge. Second, the authors examine the moderation effect of a strong relationship on how customers hold this grudge. They find that firms' best customers have the longest unfavorable reactions (i.e., a longitudinal love-becomes-hate effect). Specifically, over time, the revenge of strong-relationship customers decreases more slowly and their avoidance increases more rapidly than that of weak-relationship customers. Third, the authors explore a solution to attenuate this damaging effect—namely, the firm offering an apology and compensation after the online complaint. Overall, they find that strong-relationship customers are more amenable to any level of recovery attempt. The authors test the first two issues with a longitudinal survey and the third issue with a follow-up experiment.	
10.2307/20837543	10.2307/20837543	Celebrations of Love: Women Denounce Honor Killings in Turkey	efsa kuraner	Off Our Backs	32	3/4	2002-03-01T00:00:00Z	pp. 28-29	off our backs, inc.	fla			
10.2307/27777797	10.2307/27777797	Love Poem #11	SANDRA KOHLER	The American Poetry Review	14	5	1985-09-01T00:00:00Z	p. 32	American Poetry Review	fla			
10.2307/30007866	10.2307/30007866	Two Love-Poems	Pádraig Ó Fiannachta	Ériu	21		1969-01-01T00:00:00Z	pp. 115-121	Royal Irish Academy	fla			
10.2307/20602224	10.2307/20602224	Da «Ipotesi d'amore» / From "Hypotheses on Love"	Annalisa Cima, Jonathan Galassi	Poetry	155	1/2	1989-10-01T00:00:00Z	pp. 108-113	Poetry Foundation	fla			
10.2307/41513611	10.2307/41513611	LOVE, WORK, AND KNOWLEDGE	Marvin Mandell	The Transatlantic Review		55/56	1976-05-01T00:00:00Z	pp. 150-167	Joseph F. McCrindle Foundation	fla			
10.2307/768902	10.2307/768902	Augustus Edward Hough Love. 1863-1940	E. A. Milne	Obituary Notices of Fellows of the Royal Society	3	9	1941-01-01T00:00:00Z	pp. 466-482	The Royal Society	fla			
10.2307/20581680	10.2307/20581680	Love Song	Peter De Vries	Poetry	53	6	1939-03-01T00:00:00Z	pp. 308-309	Poetry Foundation	fla			
10.1086/380623	10.1086/380623	<i>Same‐Sex Love in India: Readings from Literature and History</i> edited by Ruth Vanita and Saleem Kidwai<br></br><i>White Saris and Sweet Mangoes: Aging, Gender, and Body in North India</i> by Sarah Lamb<br></br><i>All You Want Is Money, All You Need Is Love: Sex and Romance in Modern India</i> by Rachel Dwyer	Esha Niyogi De	Signs	29	4	2004-06-01T00:00:00Z	pp. 1170-1175	The University of Chicago Press	brv	Same‐Sex Love in India: Readings from Literature and History|Ruth  Vanita;Saleem  Kidwai, White Saris and Sweet Mangoes: Aging, Gender, and Body in North India|Sarah  Lamb, All You Want Is Money, All You Need Is Love: Sex and Romance in Modern India|Rachel  Dwyer		
10.2307/41514288	10.2307/41514288	FIRST LOVES	Ruth Fainlight	The Transatlantic Review		36	1970-07-01T00:00:00Z	pp. 71-76	Joseph F. McCrindle Foundation	fla			
10.2307/42658149	10.2307/42658149	Love and Learning	ROBERT S. SOUTHWORTH	Young Children	23	4	1968-03-01T00:00:00Z	pp. 215-221		fla		The author maintains that love can and should be an integral part of the learning process for young children. If a child is sure of affection and interest which remain constant regardless of his successes or failures, he will retain a positive attitude toward learning.	
10.2307/3923291	10.2307/3923291	Owls Love Darkness, Though Their Deeds Are Not Evil		The Science News-Letter	50	17	1946-10-26T00:00:00Z	p. 261	Society for Science & the Public	mis			
10.2307/20590125	10.2307/20590125	Love among the Tumblers	Vernon Scannell	Poetry	70	4	1947-07-01T00:00:00Z	pp. 194-195	Poetry Foundation	fla			
10.2307/4005053	10.2307/4005053	Oaks, Wolves and Love: Celtic Monks and Northern Forests	Susan Power Bratton	Journal of Forest History	33	1	1989-01-01T00:00:00Z	pp. 4-20	American Society for Environmental History, Forest History Society	fla			
